,Name,Rating,No. of rating,Price,Return and Exchange,Avaialability,Expected Delivery
70,Vincent Chase by Lenskart | Round Stylish Sunglasses | Polarized & UV Protected | For Men & Women | Medium | VC S13975,578 ratings,3.8 out of 5,₹607.00,10 Days Returns,In stock.,"Monday, Oct 25"
71,elegante Rectanglular Sunglasses for Women Retro Driving Sunlgasses Vintage Fashion Narrow Square Frame UV400 Protection,"2,983 ratings",4 out of 5,₹339.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
72,Fastrack Men Square Sunglasses Black Frame Black Lens (NBP357BK1),"1,579 ratings",3.9 out of 5,₹703.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
73,ELEGANTE Men's Square Sunglasses,116 ratings,4.1 out of 5,₹598.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
74,CREATURE Basic Black Aviator Uv-Protected Unisex Sunglasses(Lens-Jet-Black||Frame-Black||SUN-004),8 ratings,3.2 out of 5,₹295.00,10 Days Returns,In stock.,"Thursday, Oct 28"
75,ROYAL SON Unisex Adult Aviator Sunglasses,596 ratings,3.2 out of 5,₹289.00,10 Days Returns,In stock.,"Thursday, Oct 28"
76,Fastrack UV Protected Square Men's Sunglasses - (P424BK1|53|Grey Color Lens),410 ratings,3.9 out of 5,₹375.00,10 Days Returns,In stock.,"Sunday, Oct 24"
77,NuVew Mirrored Cat eye Sunglasses For Women - (Color Variants Available | Medium),469 ratings,3.8 out of 5,"₹13,273.99",10 Days Returns,In stock.,"Sunday, Oct 24"
78,Royal Son Retro Square Sunglasses For Men,"2,867 ratings",3.8 out of 5,"₹14,434.99",10 Days Returns,In stock.,"Sunday, Oct 24"
79,Fastrack Men Pilot Sunglasses Black Frame Brown Lens (Product code- P358BK2V),17 ratings,4.6 out of 5,₹429.00,30 Days Returns & Exchange,In stock.,"Monday, Oct 25"
80,Dervin Men's & Boy's Square Sunglasses,4 ratings,4.1 out of 5,"₹1,999.00",10 Days Returns,In stock.,"Thursday, Oct 28"
81,Fastrack UV Protected Aviator Men's Sunglasses - (M242GR4T|58|Green Color Lens),"1,684 ratings",3.8 out of 5,"₹1,499.00",10 Days Returns,In stock.,"Friday, Oct 29"
82,elegante UV Protected Driving Vintage Pilot Gradient Metal Body Square Sunglasses for Men and Women,603 ratings,4 out of 5,₹719.00,Amazon Delivered,In stock.,"Tuesday, Oct 26"
83,"Dervin Unisex Aviator and Rectangular Sunglasses (55, Black) - Combo of 3",197 ratings,3.4 out of 5,₹799.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
84,GAINX Retro Rectangular Aviator Sunglasses Premium Glass Lens Flat Metal Sun Glasses Men Women,344 ratings,3.8 out of 5,₹809.00,Amazon Delivered,In stock.,"Tuesday, Oct 26"
85,Awestuffs Unisex Sunglasses,351 ratings,4.2 out of 5,"₹1,169.00",Amazon Delivered,Only 3 left in stock.,"Tuesday, Nov 2"
86,Creature Black & Green Sunglasses Combo with UV Protection (Lens-Black & Green||Frame-Black & Green||SUN-001-003),433 ratings,3.8 out of 5,₹599.00,Amazon Delivered,Only 3 left in stock.,"Sunday, Oct 24"
87,HOBIE POLARIZED SNOOK SUNGLASSES,86 ratings,4 out of 5,₹343.00,Amazon Delivered,Only 4 left in stock.,Nov 9 - 16
88,Havoc Polarized Sunglasses,648 ratings,3.9 out of 5,₹467.00,Amazon Delivered,Only 1 left in stock.,Nov 9 - 16
89,Estillarse Rectangular Sunglasses (Blue),4 ratings,4.7 out of 5,₹342.00,10 Days Returns,Only 1 left in stock.,"Wednesday, Oct 27"
90,Estillarse Rectangular Sunglasses (Red),337 ratings,4.1 out of 5,₹735.00,10 Days Returns,In stock.,"Wednesday, Oct 27"
91,CareME UV Protection Sunglasses CM-SN-BL-29,"1,424 ratings",4.2 out of 5,₹371.00,10 Days Returns,In stock.,"Saturday, Oct 30"
92,Cabbana Aviator Sunglasses,81 ratings,4.2 out of 5,₹385.00,10 Days Returns,In stock.,"Sunday, Oct 31"
93,Cabbana Aviator Sunglass,45 ratings,4.1 out of 5,₹749.00,10 Days Returns,In stock.,"Sunday, Oct 31"
94,GREY JACK Polarized Classic Aviator Shaped Sunglasses Lightweight Style for Men Women Medium Size 110102,60 ratings,5 out of 5,₹349.00,10 Days Returns,In stock.,"Thursday, Oct 28"
95,GREY JACK Classic Clubmaster Half Frame Sunglasses Fashion Eyeglasses for Men Women Ladies,"1,339 ratings",3.3 out of 5,₹349.00,10 Days Returns,In stock.,"Wednesday, Oct 27"
96,grey jack Oversized Sports Polarized Sunglasses for Men Women TR90 Outdoors UV400 Protected 2208,161 ratings,4.1 out of 5,₹223.00,10 Days Returns,In stock.,"Wednesday, Oct 27"
97,GREY JACK Square Polarized Sunglasses for Men and Women Metal Frame S1811,"1,843 ratings",3.6 out of 5,₹408.00,10 Days Returns,In stock.,"Thursday, Oct 28"
98,Fastrack UV Protected Square Men's Sunglasses - (P424GR3|53|Green Color Lens),729 ratings,3.6 out of 5,₹413.00,10 Days Returns,In stock.,"Thursday, Oct 28"
99,"CREEK Unisex Octagonal Sunglasses/Frame for Men & Women - Black/Pink/Yellow/Blue Combo, Pack of 4, Free Size",203 ratings,3.6 out of 5,₹378.00,10 Days Returns,Only 1 left in stock.,"Tuesday, Oct 26"
