,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
427,KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",65554,29,2011
429,Bank Marketing,Multivariate,Classification,Real,45211,17,2012
431,YouTube Comedy Slam Preference Data,Text,Classification,,1138562,3,2012
433,Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,128,2012
435,ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10,2012
437,OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551,242,2012
439,Nomao,Univariate,Classification,Real,34465,120,2012
441,SMS Spam Collection,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,5574,,2012
443,Skin Segmentation,Univariate,Classification,Real,245057,4,2012
445,Planning Relax,Univariate,Classification,Real,182,13,2012
447,PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505,52,2012
449,Restaurant & consumer data,Multivariate,,,138,47,2012
451,CNAE-9,"Multivariate, Text",Classification,Integer,1080,857,2012
453,Individual household electric power consumption,"Multivariate, Time-Series","Regression, Clustering",Real,2075259,9,2012
455,seeds,Multivariate,"Classification, Clustering",Real,210,7,2012
457,Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115,200,2012
459,QtyT40I10D100K,Sequential,,Integer,3960456,4,2012
461,Legal Case Reports,Text,Classification,,,,2012
463,Human Activity Recognition Using Smartphones,"Multivariate, Time-Series","Classification, Clustering",,10299,561,2012
465,One-hundred plant species leaves data set,,Classification,Real,1600,64,2012
467,Energy efficiency,Multivariate,"Classification, Regression","Integer, Real",768,8,2012
469,Yacht Hydrodynamics,Multivariate,Regression,Real,308,7,2013
471,Fertility,Multivariate,"Classification, Regression",Real,100,10,2013
473,Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,9,2013
475,"3D Road Network (North Jutland, Denmark)","Sequential, Text","Regression, Clustering",Real,434874,4,2013
477,ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series","Classification, Regression",Real,536,8,2013
479,Buzz in social media,"Time-Series, Multivariate","Regression, Classification","Integer, Real",140000,77,2013
481,First-order theorem proving,Multivariate,Classification,Real,6118,51,2013
483,Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential,Classification,"Integer, Real",165632,18,2013
485,Gas sensor arrays in open sampling settings,"Multivariate, Time-Series",Classification,Real,18000,1950000,2013
487,Climate Model Simulation Crashes,Multivariate,Classification,Real,540,18,2013
489,MicroMass,Multivariate,Classification,Real,931,1300,2013
491,QSAR biodegradation,Multivariate,Classification,"Integer, Real",1055,41,2013
493,BLOGGER,Multivariate,Classification,,100,6,2013
